2025-05-01T10:12:03 | INFO     | trading_bot.cli | Command: place | args={'command': 'place', 'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'price': None, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x7f3a2c1d4310>}
2025-05-01T10:12:03 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised | base_url=https://testnet.binancefuture.com
2025-05-01T10:12:03 | DEBUG    | trading_bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ping | params={}
2025-05-01T10:12:03 | DEBUG    | trading_bot.client | ← HTTP 200 | body={}
2025-05-01T10:12:03 | INFO     | trading_bot.orders | Placing order | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None
2025-05-01T10:12:03 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2025-05-01T10:12:04 | DEBUG    | trading_bot.client | ← HTTP 200 | body={"orderId":4007437269,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_OGraG1Kzp4lJoS9q5WIv","price":"0","avgPrice":"96420.10","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"96.42010","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1746089524182}
2025-05-01T10:12:04 | INFO     | trading_bot.client | Order placed   | orderId=4007437269 status=FILLED executedQty=0.001 avgPrice=96420.10
2025-05-01T10:12:04 | INFO     | trading_bot.orders | Order success | formatted={"orderId": 4007437269, "symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "origQty": "0.001", "executedQty": "0.001", "price": "0", "avgPrice": "96420.10", "status": "FILLED", "timeInForce": "GTC", "updateTime": 1746089524182}
2025-05-01T10:14:31 | INFO     | trading_bot.cli | Command: place | args={'command': 'place', 'base_url': 'https://testnet.binancefuture.com', 'log_level': 'INFO', 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 100000.0, 'stop_price': None, 'tif': 'GTC', 'reduce_only': False, 'func': <function cmd_place at 0x7f3a2c1d4310>}
2025-05-01T10:14:31 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised | base_url=https://testnet.binancefuture.com
2025-05-01T10:14:31 | DEBUG    | trading_bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ping | params={}
